Report number:,Z489301,,,,,
10625,60,10,48.7,0,39.447,9.253
10626,53,12,761.28,0,616.6368,144.6432
10626,60,20,99,0,80.19,18.81
10626,71,20,663.2,0,537.192,126.008
10627,62,15,460.8,0,373.248,87.552
10627,73,35,47.495,6.195,33.9156,13.5794
10628,1,25,455.75,0,369.1575,86.5925
10629,29,20,2389.8,0,1935.738,454.062
10629,64,9,274.05,0,221.9805,52.0695
10630,55,12,444.528,21.168,354.6635,89.8645
10630,76,35,14078.05,0,11403.2205,2674.8295
10631,75,8,61.864,5.624,45.5544,16.3096
10632,2,30,607.005,28.905,468.261,138.744
10632,33,20,522.48,24.88,403.056,119.424
10633,12,36,403.236,52.596,284.0184,119.2176
10633,13,13,361.192,47.112,254.4048,106.7872
10633,26,35,1284.3775,167.5275,904.6485,379.729
10633,62,80,2668,348,1879.2,788.8
10634,7,35,1290.45,0,1045.2645,245.1855
10634,18,50,1381.5,0,1119.015,262.485
10634,51,15,1514.85,0,1227.0285,287.8215
10634,75,2,15.08,0,12.2148,2.8652
10635,4,10,263.01,23.91,193.671,69.339
10635,5,15,95.535,8.685,70.3485,25.1865
10635,22,40,129.2,0,104.652,24.548
10636,4,25,515.75,0,417.7575,97.9925
10636,58,6,285.78,0,231.4818,54.2982
10637,11,10,267.7,0,216.837,50.863
10637,50,25,416.0625,19.8125,320.9625,95.1
10637,56,60,2314.62,110.22,1785.564,529.056
10638,45,20,177.2,0,143.532,33.668
10638,65,21,212.94,0,172.4814,40.4586
10638,72,60,646.2,0,523.422,122.778
10639,18,8,193.36,0,156.6216,36.7384
10640,69,20,46,9.2,29.808,16.192
10640,70,15,516,103.2,334.368,181.632
10641,2,50,929,0,752.49,176.51
10641,40,60,1187.4,0,961.794,225.606
10642,21,30,381.24,63.54,257.337,123.903
10642,61,20,643.92,107.32,434.646,209.274
10643,28,15,873,174.6,565.704,307.296
10643,39,21,1478.4,295.68,958.0032,520.3968
10643,46,2,27.875,5.575,18.063,9.812
10644,18,4,114.224,10.384,84.1104,30.1136
10644,43,20,262,0,212.22,49.78
10644,46,21,300.3,27.3,221.13,79.17
10645,18,20,525.2,0,425.412,99.788
10645,36,15,118.95,0,96.3495,22.6005
10646,1,15,364.6875,72.9375,236.3175,128.37
10646,10,18,142.875,28.575,92.583,50.292
10646,71,30,1125,225,729,396
10646,77,35,576.1875,115.2375,373.3695,202.818
10647,19,30,271.2,0,219.672,51.528
10647,39,20,1264,0,1023.84,240.16
10648,22,15,52.65,0,42.6465,10.0035
10648,24,15,83.6625,10.9125,58.9275,24.735
10649,28,20,948.6,0,768.366,180.234
10649,72,15,182.85,0,148.1085,34.7415
10650,30,30,825.3,0,668.493,156.807
10650,53,25,1635.375,77.875,1261.575,373.8
10650,54,30,1060.5,0,859.005,201.495
10651,19,12,137.25,27.45,94.8332,42.4168
10651,22,20,88.75,17.75,57.51,31.24
10652,30,2,65.6,13.12,42.5088,23.0912
10652,42,20,267.6,0,216.756,50.844
10653,16,30,329.01,29.91,242.271,86.739
10653,60,20,108.9,9.9,80.19,28.71
10654,4,12,296.604,26.964,225.25,71.354
10654,39,20,1397.88,127.08,1029.348,368.532
10654,54,6,212.85,19.35,156.735,56.115
10655,41,20,251.28,41.88,169.614,81.666
10656,14,3,82.929,7.539,61.6287,21.3003
10656,44,28,2095.016,190.456,1542.6936,552.3224
10656,47,6,156.618,14.238,115.3278,41.2902
10657,15,50,313.5,0,253.935,59.565
10657,41,24,245.04,0,198.4824,46.5576
10657,46,45,584.1,0,473.121,110.979
10657,47,10,253.2,0,205.092,48.108
10657,56,45,1809.45,0,1465.6545,343.7955
10657,60,30,144.6,0,117.126,27.474
10658,21,60,582,0,471.42,110.58
10658,40,70,1462.65,69.65,1128.33,334.32
10658,60,55,265.65,12.65,204.93,60.72
10658,77,70,937.86,44.66,723.492,214.368
10659,31,20,173.04,8.24,133.488,39.552
10659,40,24,490.14,23.34,378.108,112.032
10659,70,40,1098.72,52.32,847.584,251.136
10660,20,21,1817.55,0,1472.2155,345.3345
10661,39,3,236.268,39.378,159.4809,76.7871
10661,58,49,3075.24,512.54,2075.787,999.453
10662,68,10,129.1,0,104.571,24.529
10663,40,30,609.21,29.01,469.962,139.248
10663,42,30,464.94,22.14,366.7775,98.1625
10663,51,20,2033.43,96.83,1568.646,464.784
10664,10,24,189.06,24.66,133.164,55.896
10664,56,12,573.528,74.808,403.9632,169.5648
10664,65,15,171.6375,22.3875,120.8925,50.745
10665,51,20,1880.6,0,1523.286,357.314
10665,59,1,8.03,0,6.5043,1.5257
10665,76,10,3610.5,0,2924.505,685.995
10666,29,36,4708.8,0,3814.128,894.672
10666,65,10,110.4,0,89.424,20.976
10667,69,45,116.64,19.44,78.732,37.908
10667,71,14,522.648,87.108,352.7874,169.8606
10668,31,8,71.896,6.536,52.9416,18.9544
10668,55,4,181.28,16.48,133.488,47.792
10668,64,15,596.805,54.255,461.1145,135.6905
10669,36,30,241.8,0,195.858,45.942
10670,23,32,274.88,0,222.6528,52.2272
10670,46,60,745.8,0,667.4509,78.3491
10670,67,25,1468.25,0,1189.2825,278.9675
10670,73,50,56.5,0,45.765,10.735
10670,75,25,184.5,0,149.445,35.055
10671,16,10,101,0,81.81,19.19
10671,62,10,273.5,0,221.535,51.965
10671,65,12,121.92,0,98.7552,23.1648
10672,38,15,1367.85,124.35,1094.7984,273.0516
10672,71,12,389.64,0,315.6084,74.0316
10673,16,3,29.01,0,23.4981,5.5119
10673,42,6,81.18,0,65.7558,15.4242
10673,43,6,74.34,0,63.9842,10.3558
10674,23,5,48.55,0,39.3255,9.2245
10675,14,30,653.7,0,529.497,124.203
10675,53,10,661.8,0,536.058,125.742
10675,58,30,1337.7,0,1083.537,254.163
10676,10,2,12.96,0,10.4976,2.4624
10676,19,7,67.55,0,56.0862,11.4638
10676,44,21,1565.76,0,1268.2656,297.4944
10677,26,30,1158.51,151.11,815.994,342.516
10677,33,8,243.892,31.812,171.7848,72.1072
10678,12,100,960,0,777.6,182.4
10678,33,30,756,0,612.36,143.64
10678,41,120,1215.6,0,984.636,230.964
10678,54,30,1074.3,0,870.183,204.117
10679,59,12,102.12,0,82.7172,19.4028
10680,16,50,533.125,106.625,345.465,187.66
10680,31,20,195.25,39.05,126.522,68.728
10680,42,40,693.5,138.7,449.388,244.112
10681,19,30,319.77,29.07,256.1847,63.5853
10681,21,12,122.364,11.124,90.1044,32.2596
10681,64,28,899.36,0,728.4816,170.8784
10682,33,30,764.1,0,618.921,145.179
10682,66,4,74.16,0,60.0696,14.0904
10682,75,30,247.5,0,200.475,47.025
10683,52,9,688.41,0,557.6121,130.7979
10684,40,20,364.8,0,295.488,69.312
10684,47,40,1051.6,0,851.796,199.804
10684,60,30,164.7,0,133.407,31.293
10685,10,20,150.6,0,121.986,28.614
10685,41,4,36.84,0,29.8404,6.9996
10685,47,15,375.3,0,303.993,71.307
10686,17,30,813.6,135.6,549.18,264.42
10686,26,15,443.25,0,359.0325,84.2175
10687,9,50,2573.125,514.625,1667.385,905.74
10687,29,10,1321.2,0,1070.172,251.028
10687,36,6,58.05,11.61,37.6164,20.4336
10688,10,18,140.184,12.744,103.2264,36.9576
10688,28,60,2856.48,259.68,2103.408,753.072
10688,34,14,111.86,0,90.6066,21.2534
10689,1,35,804.125,160.825,521.073,283.052
10690,56,20,1026.25,205.25,665.01,361.24
10690,77,30,502.5,100.5,325.62,176.88
10691,1,30,639,0,517.59,121.41
10691,29,40,4824.8,0,3908.088,916.712
10691,43,40,457.6,0,370.656,86.944
10691,44,24,1781.04,0,1442.6424,338.3976
10691,62,48,1326.24,0,1074.2544,251.9856
10692,63,20,385,0,322.9932,62.0068
10693,9,6,211.8,0,182.4293,29.3707
10693,54,60,2555.76,333.36,1800.144,755.616
10693,69,30,74.865,9.765,52.731,22.134
10693,73,15,20.355,2.655,14.337,6.018
10694,7,90,3359.7,0,2721.357,638.343
10694,59,25,202.5,0,164.025,38.475
10694,70,50,1350.5,0,1093.905,256.595
10695,8,10,182,0,147.42,34.58
10695,12,4,39.28,0,31.8168,7.4632
10695,24,20,98.4,0,79.704,18.696
10696,17,20,509.6,0,412.776,96.824
10696,46,18,216.36,0,175.2516,41.1084
10697,19,7,73.675,14.735,47.7414,25.9336
10697,35,9,67.6125,13.5225,43.8129,23.7996
10697,58,30,1641.75,328.35,1063.854,577.896
10697,70,30,1040.625,208.125,674.325,366.3
10698,11,15,392.55,0,348.3246,44.2254
10698,17,8,201.348,9.588,155.3256,46.0224
10698,29,12,1570.842,74.802,1211.7924,359.0496
10698,65,65,687.96,32.76,530.712,157.248
10698,70,8,250.908,11.948,193.5576,57.3504
10699,47,12,286.56,0,232.1136,54.4464
10700,1,5,121.86,20.31,82.2555,39.6045
10700,34,12,125.856,20.976,84.9528,40.9032
10700,68,40,649.44,108.24,438.372,211.068
10700,71,60,2067.84,344.64,1395.792,672.048
10701,59,42,420.693,54.873,296.3142,124.3788
10701,71,20,739.68,96.48,520.992,218.688
10701,76,35,14456.1901,1885.5901,10182.186,4274.0041
10702,3,6,120.96,0,97.9776,22.9824
10702,76,15,6430.35,0,5208.5835,1221.7665
10703,2,5,92.8,0,75.168,17.632
10703,59,35,310.8,0,251.748,59.052
10703,73,35,38.15,0,30.9015,7.2485
10704,4,6,144.84,0,117.3204,27.5196
10704,24,35,160.3,0,129.843,30.457
10704,48,24,712.08,0,576.7848,135.2952
10705,31,20,183,0,148.23,34.77
10705,32,4,78.72,0,69.1053,9.6147
10706,16,20,179.2,0,145.152,34.048
10706,43,24,281.76,0,228.2256,53.5344
10706,59,8,68.24,0,55.2744,12.9656
10707,55,21,878.01,0,711.1881,166.8219
10707,57,40,764.4,0,619.164,145.236
10707,70,28,953.764,124.404,671.7816,281.9824
10708,5,4,21.64,0,17.5284,4.1116
10708,36,5,41.9,0,33.939,7.961
10709,8,40,813.2,0,658.692,154.508
10709,51,28,2561.44,0,2074.7664,486.6736
10709,60,10,49.1,0,39.771,9.329
10710,19,5,42.25,0,34.2225,8.0275
10710,47,5,131.55,0,106.5555,24.9945
10711,19,12,105.24,0,92.9528,12.2872
10711,41,42,393.96,0,319.1076,74.8524
10711,53,120,7548,0,6113.88,1434.12
10712,53,3,185.535,8.835,148.9353,36.5997
10712,56,30,1068.6,0,865.566,203.034
10713,10,18,116.28,0,94.1868,22.0932
10713,26,30,941.7,0,762.777,178.923
10713,45,110,1129.7,0,989.4563,140.2437
10713,46,24,273.84,0,221.8104,52.0296
10714,2,30,653.25,130.65,423.306,229.944
10714,17,27,816.4125,163.2825,529.0353,287.3772
10714,47,50,1746.875,349.375,1131.975,614.9
10714,56,18,775.8,155.16,502.7184,273.0816
10714,58,12,651.9,130.38,422.4312,229.4688
10715,10,21,137.76,0,111.5856,26.1744
10715,71,30,953.7,0,772.497,181.203
10716,21,5,48.7,0,39.447,9.253
10716,51,7,730.52,0,591.7212,138.7988
10716,61,10,255.7,0,229.533,26.167
10717,21,32,339.696,16.176,262.0512,77.6448
10717,54,15,523.65,0,424.1565,99.4935
10717,69,25,50.1375,2.3875,38.6775,11.46
10718,12,36,363.96,0,294.8076,69.1524
10718,16,20,181.4,0,146.934,34.466
10718,36,40,314,0,254.34,59.66
10718,62,20,603.2,0,488.592,114.608
10719,18,12,408.45,81.69,264.6756,143.7744
10719,30,3,100.65,20.13,70.1569,30.4931
10719,54,40,1712.5,342.5,1109.7,602.8
10720,35,21,138.18,0,111.9258,26.2542
10720,71,8,238.24,0,192.9744,45.2656
10721,44,50,3967.425,188.925,3060.585,906.84
10722,2,3,58.41,0,47.3121,11.0979
10722,31,50,392.5,0,317.925,74.575
10722,68,45,527.85,0,432.4704,95.3796
10722,75,42,309.12,0,250.3872,58.7328
10723,26,15,480.75,0,389.4075,91.3425
10724,10,16,123.04,0,99.6624,23.3776
10724,61,5,134.1,0,108.621,25.479
10725,41,12,123.36,0,99.9216,23.4384
10725,52,4,290.84,0,235.5804,55.2596
10725,55,6,249.6,0,202.176,47.424
10726,4,25,565.5,0,458.055,107.445
10726,11,5,146.95,0,119.0295,27.9205
10727,17,20,577.08,27.48,445.2786,131.8014
10727,56,10,435.435,20.735,335.907,99.528
10727,59,10,86.625,4.125,66.825,19.8
10728,30,15,356.25,0,288.5625,67.6875
10728,40,6,106.92,0,86.6052,20.3148
10728,55,12,450.84,0,365.1804,85.6596
10728,60,15,79.95,0,64.7595,15.1905
10729,1,50,1026,0,831.06,194.94
10729,21,30,284.7,0,230.607,54.093
10729,50,40,660.4,0,534.924,125.476
10730,16,15,137.8125,6.5625,106.3125,31.5
10730,31,3,27.468,1.308,21.1896,6.2784
10730,65,10,95.13,4.53,73.386,21.744
10731,21,40,412.02,19.62,317.844,94.176
10731,51,30,2959.74,140.94,2283.228,676.512
10732,76,20,8250,0,6682.5,1567.5
10733,14,16,348.32,0,282.1392,66.1808
10733,28,20,998.8,0,809.028,189.772
10733,52,25,2147.5,0,1739.475,408.025
10734,6,30,120.9,0,97.929,22.971
10734,30,15,351.3,0,287.0694,64.2306
10734,76,20,8252.4,0,6862.0993,1390.3007
10735,61,20,570.46,51.86,420.066,150.394
10735,77,2,27.61,2.51,20.331,7.279
10736,65,40,374,0,302.94,71.06
10736,75,20,151,0,122.31,28.69
10737,13,4,102.24,0,83.8444,18.3956
10737,41,12,121.44,0,98.3664,23.0736
10738,16,3,25.98,0,21.0438,4.9362
10739,36,6,44.76,0,36.2556,8.5044
10739,52,18,1431.72,0,1159.6932,272.0268
10740,28,5,252.66,42.11,170.5455,82.1145
10740,35,35,252,42,170.1,81.9
10740,45,40,447.84,74.64,302.292,145.548
10740,56,14,665.952,110.992,449.5176,216.4344
10741,2,15,324.54,54.09,219.0645,105.4755
10742,3,20,394,0,319.14,74.86
10742,60,50,267.5,0,216.675,50.825
10742,72,35,393.75,0,344.6742,49.0758
10743,46,28,383.082,18.242,295.5204,87.5616
10744,40,50,1187.4,197.9,801.495,385.905
10745,18,24,659.04,0,533.8224,125.2176
10745,44,16,1146.08,0,928.3248,217.7552
10745,59,45,391.05,0,316.7505,74.2995
10745,72,7,85.12,0,68.9472,16.1728
10746,13,6,144.48,0,117.0288,27.4512
10746,42,28,416.36,0,337.2516,79.1084
10746,62,9,256.32,0,207.6192,48.7008
10746,69,40,82.8,0,67.068,15.732
10747,31,8,65.92,0,53.3952,12.5248
10747,41,35,316.75,0,256.5675,60.1825
10747,63,9,184.5,0,149.445,35.055
10747,69,30,63.9,0,51.759,12.141
10748,23,44,419.76,0,340.0056,79.7544
10748,40,40,720.4,0,609.9546,110.4454
10748,56,28,1034.88,0,838.2528,196.6272
10749,56,15,612.15,0,495.8415,116.3085
10749,59,6,52.8,0,42.768,10.032
10749,76,10,4192.3,0,3395.763,796.537
10750,14,5,125.1775,16.3275,88.1685,37.009
10750,45,40,405.72,52.92,285.768,119.952
10750,59,25,260.1875,33.9375,183.2625,76.925
10751,26,12,402.204,36.564,296.1684,106.0356
10751,30,30,708.3,0,573.723,134.577
10751,50,20,330.44,30.04,243.324,87.116
10751,73,15,15.6,0,12.636,2.964
10752,1,8,144.16,0,116.7696,27.3904
10752,69,3,6.57,0,5.3217,1.2483
10753,45,4,35.88,0,29.0628,6.8172
10753,74,5,163.8,0,132.678,31.122
10754,40,3,51.63,0,41.8203,9.8097
10755,47,30,1044.75,208.95,676.998,367.752
10755,56,30,1558.5,311.7,1110.5796,447.9204
10755,57,14,359.1,71.82,232.6968,126.4032
10755,69,25,62.1875,12.4375,40.2975,21.89
10756,18,21,643.608,107.268,473.5875,170.0205
10756,36,20,177.84,29.64,120.042,57.798
10756,68,6,83.52,13.92,56.376,27.144
10756,69,20,51.6,8.6,34.83,16.77
10757,34,30,232.5,0,188.325,44.175
10757,59,7,54.74,0,44.3394,10.4006
10757,62,30,838.8,0,679.428,159.372
10757,64,24,848.4,0,732.5683,115.8317
10758,26,20,577.4,0,499.8365,77.5635
10758,52,60,4579.2,0,3709.152,870.048
10758,70,40,1230,0,996.3,233.7
10759,32,10,198.5,0,160.785,37.715
10760,25,12,192,38.4,129.195,62.805
10760,27,40,1592,0,1375.6069,216.3931
10760,43,30,464.25,92.85,300.834,163.416
10761,25,35,622.5625,124.5125,403.4205,219.142
10761,75,18,136.98,0,110.9538,26.0262
10762,39,16,875.2,0,708.912,166.288
10762,47,30,703.5,0,569.835,133.665
10762,51,28,2742.6,0,2221.506,521.094
10762,56,60,2187.6,0,1771.956,415.644
10763,21,40,423.6,0,343.116,80.484
10763,22,6,21.96,0,17.7876,4.1724
10763,24,20,87.4,0,70.794,16.606
10764,3,20,440,40,324,116
10764,39,130,7797.79,708.89,5742.009,2055.781
10765,65,80,842.16,76.56,620.136,222.024
10766,2,40,788,0,677.6011,110.3989
10766,7,35,1318.8,0,1068.228,250.572
10766,68,40,464.4,0,376.164,88.236
10767,42,2,26.7,0,21.627,5.073
10768,22,4,13.68,0,11.0808,2.5992
10768,31,50,423,0,348.123,74.877
10768,60,15,68.85,0,55.7685,13.0815
10768,71,12,381.12,0,308.7072,72.4128
10769,41,30,283.185,13.485,218.457,64.728
10769,52,15,1284.4125,61.1625,990.8325,293.58
10769,61,20,542.2,0,439.182,103.018
10769,62,15,462.45,0,374.5845,87.8655
10770,11,15,476.25,95.25,308.61,167.64
10771,71,16,486.88,0,394.3728,92.5072
10772,29,18,2206.44,0,1787.2164,419.2236
10772,59,25,208.5,0,168.885,39.615
10773,17,33,856.02,0,693.3762,162.6438
10773,31,70,761.88,126.98,514.269,247.611
10773,75,7,61.824,10.304,41.7312,20.0928
10774,31,2,19.7,3.94,12.7656,6.9344
10774,66,50,923,0,747.63,175.37
10775,10,6,38.82,0,31.6551,7.1649
10775,67,3,171.03,0,138.5343,32.4957
10776,31,16,133.56,6.36,110.5601,22.9999
10776,42,12,186.732,8.892,144.0504,42.6816
10776,45,27,258.2685,12.2985,199.2357,59.0328
10776,51,120,11665.08,555.48,8998.776,2666.304
10777,42,20,360.96,60.16,243.648,117.312
10778,41,10,90.6,0,73.386,17.214
10779,16,20,192,0,155.52,36.48
10779,62,20,604.6,0,502.3099,102.2901
10780,70,35,1005.9,0,814.779,191.121
10780,77,15,186.45,0,151.0245,35.4255
10781,54,3,136.188,22.698,91.9269,44.2611
10781,56,20,977.04,162.84,659.502,317.538
10781,74,35,1043.7,0,845.397,198.303
10782,31,1,8.19,0,6.6339,1.5561
10783,31,10,81.6,0,66.096,15.504
10783,38,5,372.25,0,313.7997,58.4503
10784,36,30,238.2,0,192.942,45.258
10784,39,2,141.036,18.396,99.3384,41.6976
10784,72,30,387.435,50.535,272.889,114.546
10785,10,10,64.2,0,52.002,12.198
10785,75,10,80.4,0,65.124,15.276
10786,8,30,662.4,110.4,447.12,215.28
10786,30,15,503.46,83.91,339.8355,163.6245
10786,75,42,352.8,58.8,238.14,114.66
10787,2,15,301.2975,14.3475,251.1539,50.1436
10787,29,20,2642.01,125.81,2038.122,603.888
10788,19,50,499.275,23.775,385.155,114.12
10788,75,40,351.54,16.74,271.188,80.352
10789,18,30,696,0,594.7627,101.2373
10789,35,15,87.9,0,71.199,16.701
10789,63,30,572.1,0,463.401,108.699
10789,68,18,224.82,0,182.1042,42.7158
10790,7,3,134.205,17.505,94.527,39.678
10790,56,20,838.12,109.32,590.328,247.792
10791,29,14,1692.558,80.598,1305.6876,386.8704
10791,41,20,202.23,9.63,160.8241,41.4059
10792,2,10,191.7,0,155.277,36.423
10792,54,3,113.7,0,92.097,21.603
10792,68,15,189.9,0,153.819,36.081
10793,41,14,125.86,0,101.9466,23.9134
10793,52,8,675.92,0,547.4952,128.4248
10794,14,15,432,72,291.6,140.4
10794,54,6,239.4,39.9,161.595,77.805
10795,16,65,668.2,0,541.242,126.958
10795,17,35,1029.875,205.975,667.359,362.516
10796,26,21,710.388,118.398,505.036,205.352
10796,44,10,713.9,0,578.259,135.641
10796,64,35,1524.18,254.03,1028.8215,495.3585
10796,69,24,60.768,10.128,41.0184,19.7496
10797,11,20,584.2,0,473.202,110.998
10798,62,2,56.52,0,45.7812,10.7388
10798,72,10,118,0,95.58,22.42
10799,13,20,532.91,69.51,375.354,157.556
10799,24,20,105.11,13.71,74.034,31.076
10799,59,25,227.25,0,184.0725,43.1775
10800,11,50,1600.5,145.5,1178.55,421.95
10800,51,10,1104.18,100.38,828.6221,275.5579
10800,54,7,249.095,22.645,183.4245,65.6705
10801,17,40,1247,249.4,808.056,438.944
10801,29,20,3298.5,659.7,2137.428,1161.072
10802,30,25,812.1875,162.4375,574.1388,238.0487
10802,51,30,4031.625,806.325,2612.493,1419.132
10802,55,60,2872.5,574.5,1861.38,1011.12
10802,62,5,175.3125,35.0625,114.0794,61.2331
10803,19,24,233.856,11.136,180.4032,53.4528
10803,25,15,223.1775,10.6275,172.1655,51.012
10803,59,15,130.095,6.195,100.359,29.736
10804,10,36,255.6,0,207.036,48.564
10804,28,24,1090.32,0,883.1592,207.1608
10804,49,4,86.71,11.31,61.074,25.636
10805,34,10,77,0,62.37,14.63
10805,38,10,848.9,0,687.609,161.291
10806,2,20,476.5,95.3,308.772,167.728
10806,65,2,18.94,0,15.3414,3.5986
10806,74,15,540.5625,108.1125,350.2845,190.278
10807,40,1,20.11,0,17.4058,2.7042
10808,56,20,894.24,116.64,629.856,264.384
10808,76,50,21077.2001,2749.2001,14845.68,6231.5201
10809,52,20,1454.8,0,1178.388,276.412
10810,13,7,173.32,0,140.3892,32.9308
10810,25,5,67.15,0,54.3915,12.7585
10810,70,5,132.45,0,107.2845,25.1655
10811,19,15,141.9,0,114.939,26.961
10811,23,18,178.2,0,144.342,33.858
10811,40,30,523.8,0,424.278,99.522
10812,31,16,155.76,14.16,122.2674,33.4926
10812,72,40,551.32,50.12,405.972,145.348
10812,77,20,275.2,0,222.912,52.288
10813,2,12,251.28,41.88,169.614,81.666
10813,46,35,419.65,0,339.9165,79.7335
10814,41,20,177.6,0,143.856,33.744
10814,43,20,283.36,36.96,199.584,83.776
10814,48,8,304.52,39.72,214.488,90.032
10814,61,30,936.675,122.175,659.745,276.93
10815,33,16,447.36,0,362.3616,84.9984
10816,38,30,2774.205,132.105,2140.101,634.104
10816,62,20,622.44,29.64,480.168,142.272
10817,26,40,1378.16,179.76,970.704,407.456
10817,38,30,2451.9,0,1986.039,465.861
10817,40,60,1247.52,162.72,878.688,368.832
10817,62,25,777.6875,101.4375,547.7625,229.925
10818,32,20,410.4,0,365.8319,44.5681
10818,41,20,206,0,166.86,39.14
10819,43,7,79.59,0,64.4679,15.1221
10819,75,20,145.6,0,117.936,27.664
10820,56,30,1200.6,0,972.486,228.114
10821,35,20,117,0,94.77,22.23
10821,51,6,630.9,0,511.029,119.871
10822,62,3,88.29,0,76.7838,11.5062
10822,70,6,180.78,0,146.4318,34.3482
10823,11,20,666.82,60.62,491.022,175.798
10823,57,15,312.3,0,252.963,59.337
10823,59,40,392.04,35.64,314.3448,77.6952
10823,77,15,216.315,19.665,173.4453,42.8697
10824,41,12,104.4,0,92.0808,12.3192
10824,70,9,278.91,0,263.4889,15.4211
10825,26,12,342.6,0,302.1732,40.4268
10825,53,20,1328.8,0,1172.0016,156.7984
10826,31,35,310.1,0,273.5082,36.5918
10826,57,15,280.95,0,247.7979,33.1521
10827,10,15,99.3,0,87.5826,11.7174
10827,39,21,1141.98,0,1007.2264,134.7536
10828,20,5,409.35,0,361.0467,48.3033
10828,38,2,150.96,0,133.1467,17.8133
10829,2,10,201.1,0,177.3702,23.7298
10829,8,20,395.4,0,348.7428,46.6572
10829,13,10,264.3,0,233.1126,31.1874
10829,60,21,112.98,0,99.6484,13.3316
10830,6,6,23.82,0,21.0092,2.8108
10830,39,28,1522.36,0,1342.7215,179.6385
10830,60,30,159.3,0,140.5026,18.7974
10830,68,24,316.08,0,298.963,17.117
10831,19,2,20.18,0,17.7988,2.3812
10831,35,8,45.12,0,39.7958,5.3242
10831,38,8,686.8,0,605.7576,81.0424
10831,43,9,113.94,0,109.1021,4.8379
10832,13,3,92.16,15.36,67.7376,24.4224
10832,25,10,165.6,27.6,121.716,43.884
10832,44,16,1308.288,218.048,961.5917,346.6963
10832,64,3,99.18,0,87.4768,11.7032
10833,7,20,892.76,81.16,715.8312,176.9288
10833,31,9,87.417,7.947,71.4278,15.9892
10833,53,9,600.633,54.603,481.5985,119.0345
10834,29,8,1124.088,53.528,968.0485,156.0395
10834,30,20,511.77,24.37,458.8188,52.9512
10835,59,15,120.6,0,114.6714,5.9286
10835,77,2,29.52,4.92,21.6972,7.8228
10836,22,52,184.08,0,162.3586,21.7214
10836,35,6,38.28,0,35.0965,3.1835
10836,57,24,462.48,0,407.9074,54.5726
10836,60,60,279.6,0,246.6072,32.9928
10836,64,30,948.9,0,836.9298,111.9702
10837,13,6,148.08,0,130.6066,17.4734
10837,40,25,450.25,0,402.558,47.692
10837,47,40,1356,271.2,956.7936,399.2064
10837,76,21,10140.9,2028.18,7155.419,2985.481
10838,1,4,102.6,20.52,72.3946,30.2054
10838,18,25,875,175,617.4,257.6
10838,36,50,476.875,95.375,336.483,140.392
10839,58,30,1593.57,144.87,1277.7534,315.8166
10839,72,15,203.94,18.54,163.5605,40.3795
10840,25,6,110.808,18.468,81.4439,29.3641
10840,39,10,650.52,108.42,478.1322,172.3878
10841,10,16,101.28,0,89.329,11.951
10841,56,30,1245.9,0,1098.8838,147.0162
10841,59,50,431.5,0,380.583,50.917
10841,77,15,201,0,177.282,23.718
10842,11,15,381.45,0,336.4389,45.0111
10842,43,5,55.45,0,48.9069,6.5431
10842,68,20,265.4,0,234.0828,31.3172
10842,70,12,321.84,0,283.8629,37.9771
10843,51,4,473.6,94.72,334.1722,139.4278
10844,22,35,125.65,0,110.8233,14.8267
10845,23,70,721.49,65.59,615.1821,106.3079
10845,35,25,178.475,16.225,143.1045,35.3705
10845,42,42,621.39,56.49,498.2418,123.1482
10845,58,60,3315.84,301.44,2658.7008,657.1392
10845,64,48,1654.08,0,1458.8986,195.1814
10846,4,21,474.18,0,418.2268,55.9532
10846,70,30,922.5,0,842.1118,80.3882
10846,74,20,621.8,0,548.4276,73.3724
10847,1,80,1746.24,291.04,1302.4529,443.7872
10847,19,12,140.832,23.472,103.5115,37.3205
10847,37,60,285.12,47.52,209.5632,75.5568
10847,45,36,378,63,277.83,100.17
10847,60,45,279.18,46.53,205.1973,73.9827
10847,71,55,1937.1,322.85,1518.7212,418.3788
10848,5,30,184.8,0,162.9936,21.8064
10848,9,3,120.96,0,106.6867,14.2733
10849,3,49,967.75,0,853.5555,114.1945
10849,26,18,693.45,90.45,531.846,161.604
10850,25,20,318.32,41.52,244.1376,74.1824
10850,33,4,121.164,15.804,92.9275,28.2365
10850,70,30,927.705,121.005,711.5094,216.1956
10851,2,5,92.925,4.425,78.057,14.868
10851,25,10,138.285,6.585,116.1594,22.1256
10851,57,10,200.445,9.545,172.3977,28.0473
10851,59,42,390.285,18.585,327.8394,62.4456
10852,2,15,293.55,0,258.9111,34.6389
10852,17,6,139.44,0,122.9861,16.4539
10852,62,50,1572,0,1386.504,185.496
10853,18,10,255.2,0,225.0864,30.1136
10854,10,100,724.5,94.5,555.66,168.84
10854,13,65,2046.655,266.955,1569.6954,476.9596
10855,16,50,459,0,444.4526,14.5474
10855,31,14,119.28,0,105.205,14.075
10855,56,24,910.8,0,803.3256,107.4744
10855,65,15,164.22,21.42,125.9496,38.2704
10856,2,20,390.8,0,363.1499,27.6501
10856,42,20,268,0,236.376,31.624
10857,3,30,587.7,0,518.3514,69.3486
10857,26,35,1294.125,258.825,913.1346,380.9904
10857,29,10,1521.25,304.25,1073.394,447.856
10858,7,5,214.3,0,189.0126,25.2874
10858,27,10,433.5,0,382.347,51.153
10858,70,4,122.24,0,107.8157,14.4243
